Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),Gas CC Generation (MW),Power from Storage and Gas CC to Storage (MW)
472,0.0,0.0,0.0,0.0,30758.742,10284.803
473,0.0,0.0,0.0,0.0,30758.742,9470.5881
474,0.0,0.0,0.0,0.0,30758.742,6889.381999999998
475,0.0,0.0,0.0,0.0,30758.742,6582.630000000005
476,0.0,0.0,0.0,0.0,30758.742,6500.4400000000005
477,0.0,0.0,0.0,0.0,30758.742,6867.415999999997
478,0.0,0.0,0.0,0.0,30758.742,7781.3449999999975
479,0.0,0.0,0.0,0.0,30758.742,9346.086000000003
480,0.0,0.0,0.0,0.0,30758.742,10867.846000000005
481,0.0,0.0,0.0,0.0,30758.742,12009.197999999997
482,0.0,0.0,0.0,0.0,30758.742,12733.301999999996
483,0.0,0.0,0.0,0.0,30758.742,13203.736000000004
484,0.0,0.0,0.0,0.0,30758.742,13214.169999999998
485,0.0,0.0,0.0,0.0,30758.742,12551.631000000001
486,0.0,0.0,0.0,0.0,30758.742,11000.986000000004
487,0.0,0.0,0.0,0.0,30758.742,8722.733999999997
488,0.0,0.0,0.0,0.0,30758.742,7565.271000000001
489,0.0,0.0,0.0,0.0,30758.742,7490.989800000001
490,0.0,0.0,0.0,0.0,30758.742,7910.449999999997
491,0.0,0.0,0.0,0.0,30758.742,8695.340999999997
492,0.0,0.0,0.0,0.0,30758.742,9122.478000000003
493,0.0,0.0,0.0,0.0,30758.742,9245.9715
494,0.0,0.0,0.0,0.0,30758.742,8953.487999999998
495,0.0,0.0,0.0,0.0,30758.742,8731.589999999997
496,0.0,0.0,0.0,0.0,30758.742,8113.073
497,0.0,0.0,0.0,0.0,30758.742,6641.637000000001
498,0.0,0.0,0.0,0.0,30758.742,4085.9398
499,0.0,0.0,0.0,0.0,30758.742,2934.7834
500,0.0,0.0,0.0,0.0,30758.742,3225.626000000004
501,0.0,0.0,0.0,0.0,30758.742,3898.5539999999983
502,0.0,0.0,0.0,0.0,30758.742,5316.023000000001
503,0.0,0.0,0.0,0.0,30758.742,7511.597999999998
504,0.0,0.0,0.0,0.0,30758.742,9179.053999999996
505,0.0,0.0,0.0,0.0,30758.742,10275.688000000002
506,0.0,0.0,0.0,0.0,30758.742,11117.015000000007
507,0.0,0.0,0.0,0.0,30758.742,11562.402000000002
508,0.0,0.0,0.0,0.0,30758.742,11485.890999999996
509,0.0,0.0,0.0,0.0,30758.742,10707.792000000005
510,0.0,0.0,0.0,0.0,30758.742,9065.982000000004
511,0.0,0.0,0.0,0.0,30758.742,6054.1669
512,0.0,0.0,0.0,0.0,30758.742,4514.5312
513,0.0,0.0,0.0,0.0,30758.742,5093.4679999999935
514,0.0,0.0,0.0,0.0,30758.742,6719.5231
515,0.0,0.0,0.0,0.0,30758.742,7795.812000000005
516,0.0,0.0,0.0,0.0,30758.742,8240.295000000002
517,0.0,0.0,0.0,0.0,30758.742,8320.908999999996
518,0.0,0.0,0.0,0.0,30758.742,8066.7040000000015
519,0.0,0.0,0.0,0.0,30758.742,8074.614999999998
520,0.0,0.0,0.0,0.0,30758.742,7626.777000000002
521,0.0,0.0,0.0,0.0,30758.742,6337.249
522,0.0,0.0,0.0,0.0,30758.742,3804.4089999999997
523,0.0,0.0,0.0,0.0,30758.742,3226.929
524,0.0,0.0,0.0,0.0,30758.742,3006.6709999999985
525,0.0,0.0,0.0,0.0,30758.742,3633.8820000000014
526,0.0,0.0,0.0,0.0,30758.742,4879.7187
527,0.0,0.0,0.0,0.0,30758.742,6920.0869999999995
528,0.0,0.0,0.0,0.0,30758.742,8788.224000000002
529,0.0,0.0,0.0,0.0,30758.742,9639.126000000004
530,0.0,0.0,0.0,0.0,30758.742,10480.677000000003
531,0.0,0.0,0.0,0.0,30758.742,10972.154999999999
532,0.0,0.0,0.0,0.0,30758.742,11010.286000000004
533,0.0,0.0,0.0,0.0,30758.742,10453.691999999995
534,0.0,0.0,0.0,0.0,30758.742,8958.5112
535,0.0,0.0,0.0,0.0,30758.742,6084.474000000002
536,0.0,0.0,0.0,0.0,30758.742,4191.1684
537,0.0,0.0,0.0,0.0,30758.742,4687.288099999999
538,0.0,0.0,0.0,0.0,30758.742,6267.240000000005
539,0.0,0.0,0.0,0.0,30758.742,7107.696
540,0.0,0.0,0.0,0.0,30758.742,7800.8564
541,0.0,0.0,0.0,0.0,30758.742,8260.217999999993
542,0.0,0.0,0.0,0.0,30758.742,8096.899999999994
543,0.0,0.0,0.0,0.0,30758.742,8180.367
544,0.0,0.0,0.0,0.0,30758.742,7676.466
545,0.0,0.0,0.0,0.0,30758.742,6211.5761
546,0.0,0.0,0.0,0.0,30758.742,4275.6705
547,0.0,0.0,0.0,0.0,30758.742,2898.309000000001
548,0.0,0.0,0.0,0.0,30758.742,3184.892
549,0.0,0.0,0.0,0.0,30758.742,3699.7070000000003
550,0.0,0.0,0.0,0.0,30758.742,5167.146000000001
551,0.0,0.0,0.0,0.0,30758.742,7080.73
552,0.0,0.0,0.0,0.0,30758.742,9026.224999999999
553,0.0,0.0,0.0,0.0,30758.742,10083.775999999998
554,0.0,0.0,0.0,0.0,30758.742,10962.654999999999
555,0.0,0.0,0.0,0.0,30758.742,11452.188000000002
556,0.0,0.0,0.0,0.0,30758.742,11485.452999999998
557,0.0,0.0,0.0,0.0,30758.742,10826.929999999993
558,0.0,0.0,0.0,0.0,30758.742,8824.748000000007
559,0.0,0.0,0.0,0.0,30758.742,6112.001
560,0.0,0.0,0.0,0.0,30758.742,4692.071
561,0.0,0.0,0.0,0.0,30758.742,5274.7967
562,0.0,0.0,0.0,0.0,30758.742,6124.131999999998
563,0.0,0.0,0.0,0.0,30758.742,7575.528000000002
564,0.0,0.0,0.0,0.0,30758.742,8196.161999999998
565,0.0,0.0,0.0,0.0,30758.742,8413.826000000001
566,0.0,0.0,0.0,0.0,30758.742,8242.947
567,0.0,0.0,0.0,0.0,30758.742,8302.944000000003
568,0.0,0.0,0.0,0.0,30758.742,7886.427999999996
569,0.0,0.0,0.0,0.0,30758.742,6440.422000000002
570,0.0,0.0,0.0,0.0,30758.742,4490.722
571,0.0,0.0,0.0,0.0,30758.742,3786.6779
572,0.0,0.0,0.0,0.0,30758.742,4145.970000000001
573,0.0,0.0,0.0,0.0,30758.742,4632.3073
574,0.0,0.0,0.0,0.0,30758.742,5793.468000000001
575,0.0,0.0,0.0,0.0,30758.742,7746.379000000001
576,0.0,0.0,0.0,0.0,30758.742,9399.235999999997
577,0.0,0.0,0.0,0.0,30758.742,10865.849999999999
578,0.0,0.0,0.0,0.0,30758.742,11653.135999999999
579,0.0,0.0,0.0,0.0,30758.742,12081.797999999995
580,0.0,0.0,0.0,0.0,30758.742,12121.566000000006
581,0.0,0.0,0.0,0.0,30758.742,11518.868000000002
582,0.0,0.0,0.0,0.0,30758.742,9715.198000000004
583,0.0,0.0,0.0,0.0,30758.742,7121.6467
584,0.0,0.0,0.0,0.0,30758.742,5435.2880000000005
